Programtervező informatikus BSc_N (2017) [BSZKPTI-N1] mintatanterv,,,,,,,,,,,,,,,,,,,,,,,
,Sorkód,Név,Félév,Felvétel típus,Kurustípus,Heti óraszám,Féléves óraszám,Kredit,Ebből teljesítendő kredit,Teljesítendő csoport,Teljesítendő tárgy,Előfeltétel,,,,,,,,,,,
◼,TT‑IB042,Digitális képfeldolgozás,,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IB042e,Digitális képfeldolgozás,6,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB042e,Digitális képfeldolgozás,6,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB042e‑00001,Digitális képfeldolgozás (tehetséggondozó program),6,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB042g,Digitális képfeldolgozás,6,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB042g‑00002,Digitális képfeldolgozás gyakorlat (tehetséggondozó program),6,Kötelezően választható,Labor,1,,2,,,,,,,,,,,,,,,
◼◼◼,IB042g,Digitális képfeldolgozás gyakorlat,6,Kötelezően választható,Labor,1,,2,,,,
,MK‑DSZ,Differenciált szakmai ismeretek,,Kötelező,,,,52,52,,
◼,MK‑DIF‑MATSZT,Differenciált matematikai és számítástudományi ismeretek,,Kötelező,,,,,14,,,,,,,,,,,,,,
◼◼,TT‑MBNXK112,Diszkrét matematika II.,2,Kötelezően választható,,,,,5,2,,,,,,,,,,,,,
◼◼◼,TE‑MBNXK112E,Diszkrét matematika II. előadás,2,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,MBNXK112E,Diszkrét matematika II.,2,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,TE‑MBNXK112G,Diszkrét matematika II. gyakorlat,2,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼,MBNXK112G,Diszkrét matematika II.,2,Kötelezően választható,Gyakorlat,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑MBNXK114,Diszkrét matematika III.,3,Kötelezően választható,,,,,5,2,,,,,,,,,,,,,
◼◼◼,TE‑MBNXK114E,Diszkrét matematika III. előadás,3,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,MBNXK114E,Diszkrét matematika III.,3,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,TE‑MBNXK114G,Diszkrét matematika III. gyakorlat,3,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
